REM Author: stenocyb
REM Description: Blocks somewhat the usage of the phone, automatically cycles through different applications
REM Version: 1.0
REM Category: Redmi
REM Tested On: Redmi Note 12 | MIUI 14.0.11 | Android 13 TKQ1.221114.001


DEFAULT_DELAY 100

GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s
GUI e
GUI c
GUI h
GUI a
GUI b
GUI l
GUI m
GUI p
GUI s

